,int_list,area,ecc,patch,time,tfmt,cx,cy,geom,angle
0,0,1229,0.7143800958631087,"Ellipse(xy=(-139.9657064240966, -66.30931001587678), width=500, height=125, angle=72.0617335153395)",12900.0,2021-10-27 03:35:00,-139965.7064240966,-66309.31001587678,"LINEARRING (-80.50389920493583 -85.55881604152225, -60.08378451905639 -22.48099361702698, -46.76254690920192 40.05006579341158, -43.47403433691994 88.26262216400113, -40.18552176463794 136.4751785345907, -47.1982267153909 166.4328901892964, -62.96768232151472 171.5379188607663, -78.73713792763853 176.6429475322361, -101.9758379877688 156.478490241545, -127.5657285494715 115.4855346544516, -153.1556191111742 74.49257906735821, -179.0073989573779 16.01801843426395, -199.4275136432574 -47.0598039902313, -219.8476283291368 -110.1376264147266, -233.1688659389913 -172.6686858251651, -236.4573785112732 -220.8812421957547, -239.7458910835553 -269.0937985663443, -232.7331861328023 -299.05151022105, -216.9637305266785 -304.1565388925198, -201.1942749205547 -309.2615675639897, -177.9555748604244 -289.0971102732985, -152.3656842987217 -248.1041546862051, -126.775793737019 -207.1111990991118, -100.9240138908153 -148.6366384660175, -80.50389920493583 -85.55881604152225)",72.0617335153395
1,1,1300,0.7427267692227799,"Ellipse(xy=(-128.8337573447693, -60.74333547621407), width=500, height=125, angle=73.16109371097951)",13500.0,2021-10-27 03:45:00,-128833.75734476931,-60743.33547621407,"LINEARRING (-69.01356910324526 -78.84844742694857, -49.80744184251792 -15.39044997000566, -37.68839459511938 47.38468409010864, -35.32550684930803 95.65146011902968, -32.96261910349665 143.9182361479507, -40.5488101775956 173.7358856747003, -56.41330954183132 178.5374174898821, -72.27780890606705 183.3389493050639, -95.12535045721 162.7323396037666, -119.9240283641829 121.2559549880416, -144.7227062711557 79.77957037231661, -169.447818325566 20.81977393146333, -188.6539455862934 -42.63822352547957, -207.8600728470207 -106.0962209824225, -219.9791200944192 -168.8713550425368, -222.3420078402306 -217.1381310714578, -224.704895586042 -265.4049071003789, -217.118704511943 -295.2225566271284, -201.2542051477073 -300.0240884423102, -185.3897057834716 -304.8256202574921, -162.5421642323286 -284.2190105561947, -137.7434863253557 -242.7426259404698, -112.9448084183829 -201.2662413247448, -88.21969636397262 -142.3064448838915, -69.01356910324526 -78.84844742694857)",73.16109371097951
2,2,1410,0.7716034298296437,"Ellipse(xy=(-117.70180826544203, -49.61138639688725), width=500, height=125, angle=74.58868366195207)",14100.0,2021-10-27 03:55:00,-117701.80826544203,-49611.38639688725,"LINEARRING (-57.44912475650722 -66.22054441203466, -39.82992398047945 -2.303750612481103, -29.27859088832368 60.75382730190106, -28.1189341223488 109.0644897162218, -26.95927735637395 157.3751521305425, -35.28597775496398 186.994547444845, -51.26517620485237 191.399347638852, -67.24437465474075 195.8041478328589, -89.57144038039999 174.6347204812535, -113.3290963100582 132.5533862408411, -137.0867522397163 90.47205200042859, -160.3352909983491 30.91456541781373, -177.9544917743768 -33.00222838173983, -195.5736925504046 -96.9190221812934, -206.1250256425604 -159.9766000956756, -207.2846824085352 -208.2872625099963, -208.4443391745101 -256.5979249243171, -200.1176387759201 -286.2173202386195, -184.1384403260317 -290.6221204326265, -168.1592418761433 -295.0269206266335, -145.8321761504841 -273.857493275028, -122.0745202208259 -231.7761590346156, -98.31686429116773 -189.6948247942031, -75.06832553253498 -130.1373382115882, -57.44912475650722 -66.22054441203466)",74.58868366195207
3,3,1427,0.7720119656764265,"Ellipse(xy=(-106.5698591861166, -38.479437317561356), width=500, height=125, angle=77.2680553035481)",14700.0,2021-10-27 04:05:00,-106569.8591861166,-38479.43731756136,"LINEARRING (-45.60662048314455 -52.25381668087389, -30.99458805223851 12.41674287939879, -23.40253089517563 75.89862557496704, -24.50251147841355 124.2106835878672, -25.60249206165146 172.5227416007674, -35.30470184279829 201.7205093866003, -51.47234173286646 205.3735174943268, -67.63998162293463 209.0265256020534, -88.95303543748425 186.8365221002304, -110.717550458345 143.6905976967359, -132.4820654792057 100.5446732932414, -152.9210654581826 39.96550160602386, -167.5330978890887 -24.70505795424882, -182.1451303199947 -89.37561751452151, -189.7371874770576 -152.8575002100897, -188.6372068938197 -201.1695582229899, -187.5372263105817 -249.4816162358901, -177.8350165294349 -278.679384021723, -161.6673766393668 -282.3323921294495, -145.4997367492986 -285.9854002371761, -124.186682934749 -263.7953967353531, -102.4221679138882 -220.6494723318586, -80.65765289302746 -177.5035479283641, -60.21865291405059 -116.9243762411466, -45.60662048314455 -52.25381668087389)",77.2680553035481
4,4,1428,0.7643558767208061,"Ellipse(xy=(-95.43791010678932, -38.479437317560894), width=500, height=125, angle=78.92558397598941)",15300.0,2021-10-27 04:15:00,-95437.91010678932,-38479.43731756089,"LINEARRING (-34.10175185931622 -50.48467331861222, -21.36644864447456 14.58148391866951, -15.6138005453402 78.25640678707606, -18.11076153371683 126.5164326112285, -20.60772252209347 174.7764584353809, -31.15042679326356 203.6813698686211, -47.41696610258399 206.8651956723315, -63.68350541190442 210.0490214760419, -84.34578887541626 187.2518163757168, -104.8531883911557 143.494400183405, -125.3605879068951 99.7369839910933, -144.0387651394207 38.59195592077216, -156.7740683542624 -26.47420131650956, -169.5093715691041 -91.54035855379129, -175.2620196682385 -155.2152814221978, -172.7650586798618 -203.4753072463503, -170.2680976914852 -251.7353330705027, -159.7253934203151 -280.6402445037428, -143.4588541109947 -283.8240703074533, -127.1923148016742 -287.0078961111637, -106.5300313381624 -264.2106910108386, -86.02263182242297 -220.4532748185268, -65.51523230668357 -176.6958586262151, -46.83705507415789 -115.550830555894, -34.10175185931622 -50.48467331861222)",78.92558397598941
5,5,1460,0.7721402155625214,"Ellipse(xy=(-84.30596102746203, -21.781513698569967), width=500, height=125, angle=81.79444917703395)",15900.0,2021-10-27 04:25:00,-84305.96102746204,-21781.51369856997,"LINEARRING (-22.44581050544464 -30.70181511687147, -12.98304414917281 34.92019962275106, -10.42454997061314 98.80324017334065, -15.3338066156871 146.8778083556772, -20.24306326076103 194.9523765380139, -32.21925166935038 223.2933968004317, -48.62475535425601 225.6590883894996, -65.03025903916165 228.0247799785676, -84.52564129068379 204.22199465458, -102.8172704543652 159.4930196018952, -121.1088996180466 114.7640445492105, -136.7033451932076 52.76080245935407, -146.1661115494794 -12.86121228026846, -155.6288779057513 -78.48322701989099, -158.1873720843109 -142.3662675704806, -153.278115439237 -190.4408357528172, -148.368858794163 -238.5154039351538, -136.3926703855737 -266.8564241975716, -119.9871667006681 -269.2221157866395, -103.5816630157624 -271.5878073757075, -84.08628076424027 -247.7850220517199, -65.79465160055888 -203.0560469990351, -47.50302243687748 -158.3270719463504, -31.90857686171647 -96.323829856494, -22.44581050544464 -30.70181511687147)",81.79444917703395
6,6,1532,0.7719351639424531,"Ellipse(xy=(-73.17401194813661, -21.781513698569498), width=500, height=125, angle=83.36531348310658)",16500.0,2021-10-27 04:35:00,-73174.01194813661,-21781.5136985695,"LINEARRING (-11.09257436592194 -29.00267065058103, -3.432281528881902 36.85408814645832, -2.625995080681705 100.7832572683345, -8.851290252824299 148.7051792534243, -15.07658542496689 196.6271012385141, -27.82519444083066 224.6291634210291, -44.28938414009049 226.5442366302892, -60.75357383935033 228.4593098395492, -79.58911605917697 204.1310368306006, -96.64770125321105 158.9174373509837, -113.7062864472451 113.7038378713668, -127.5951566933112 51.29640205048138, -135.2554495303513 -14.56035674655797, -142.9157423673913 -80.41711554359732, -143.7220288155915 -144.3462846654735, -137.4967336434489 -192.2682066505633, -131.2714384713063 -240.1901286356531, -118.5228294554426 -268.1921908181682, -102.0586397561827 -270.1072640274282, -85.59445005692288 -272.0223372366882, -66.75890783709625 -247.6940642277397, -49.70032264306217 -202.4804647481228, -32.64173744902808 -157.2668652685059, -18.75286720296198 -94.85942944762037, -11.09257436592194 -29.00267065058103)",83.36531348310658
7,7,1603,0.7952952260974646,"Ellipse(xy=(-62.04206286880933, -16.215539158907255), width=500, height=125, angle=83.85439532095725)",17100.0,2021-10-27 04:45:00,-62042.062868809335,-16215.539158907255,"LINEARRING (0.09875263661839284 -22.90650682587394, 7.196614105735726 43.01324080839607, 7.457172768428059 106.946963299999, 0.8230436035890918 154.8140003604811, -5.811085561249875 202.6810374209632, -18.79825529237507 230.5732574955243, -35.27819220094258 232.3477228628036, -51.75812910951008 234.122188230083, -70.385319342801 209.6340216526195, -87.05734046111112 164.2764575805052, -103.7293615794212 118.9188935083909, -117.0850169051197 56.39517614232944, -124.182878374237 -9.524571491940566, -131.2807398433544 -75.44431912621059, -131.5412985060467 -139.3780416178135, -124.9071693412077 -187.2450786782956, -118.2730401763688 -235.1121157387777, -105.2858704452436 -263.0043358133388, -88.80593353667609 -264.7788011806181, -72.32599662810858 -266.5532665478975, -53.69880639481767 -242.0650999704341, -37.02678527650754 -196.7075358983197, -20.35476415819742 -151.3499718262055, -6.999108832498941 -88.82625446014396, 0.09875263661839284 -22.90650682587394)",83.85439532095725
8,8,1733,0.807008489578894,"Ellipse(xy=(-50.91011378948205, -21.781513698569967), width=500, height=125, angle=82.07337136395604)",17700.0,2021-10-27 04:55:00,-50910.11378948205,-21781.51369856997,"LINEARRING (10.99272857923992 -30.40056855819122, 20.1359288506064 35.26673422179442, 22.38340423965099 99.16147279098833, 17.2401743787914 147.2115726173539, 12.0969445179318 195.2616724437194, -0.01706865600062457 223.5440557084763, -16.43389435099704 225.8298557763179, -32.85072004599344 228.1156558441595, -52.22999716037961 204.2182472642186, -70.30366484849905 159.400756894668, -88.3773325366185 114.5832665251174, -103.6697558868375 52.50484394103692, -112.812956158204 -13.16245883894871, -121.9561564295705 -78.82976161893436, -124.2036318186151 -142.7245001881283, -119.0604019577555 -190.7746000144938, -113.9171720968959 -238.8246998408594, -101.8031589229635 -267.1070831056162, -85.38633322796706 -269.3928831734578, -68.96950753297065 -271.6786832412994, -49.59023041858448 -247.7812746613585, -31.51656273046504 -202.9637842918079, -13.44289504234559 -158.1462939222573, 1.849528307873435 -96.06787133817686, 10.99272857923992 -30.40056855819122)",82.07337136395604
9,9,2224,0.8408715595574093,"Ellipse(xy=(-56.47608832914569, -32.91346277789678), width=500, height=125, angle=76.85125756674199)",18300.0,2021-10-27 05:05:00,-56476.08832914569,-32913.462777896784,"LINEARRING (4.3853366070528 -47.13095041585437, 19.46742379024493 17.43160383813419, 27.52107449610725 80.85657898797531, 26.77256563685921 129.1753604421155, 26.02405677761113 177.4941418962557, 16.5345007861818 206.7617151710991, 0.3938622226846675 210.5322369668972, -15.74677634081247 214.3027587626952, -37.22068583065301 192.2683826758862, -59.2984869332648 149.2819242825869, -81.37628803587658 106.2954658892877, -102.2554260821521 45.86657911404937, -117.3375132653442 -18.69597513993919, -132.4196004485363 -83.25852939392776, -140.4732511543986 -146.6835045437689, -139.7247422951506 -195.002285997909, -138.9762334359025 -243.3210674520492, -129.4866774444732 -272.5886407268927, -113.346038880976 -276.3591625226907, -97.2054003174789 -280.1296843184888, -75.73149082763837 -258.0953082316797, -53.65368972502658 -215.1088498383805, -31.57588862241479 -172.1223914450812, -10.69675057613932 -111.6935046698429, 4.3853366070528 -47.13095041585437)",76.85125756674199
10,10,2493,0.8606872958737346,"Ellipse(xy=(-50.91011378948205, -27.34748823823268), width=500, height=125, angle=72.75275747793606)",18900.0,2021-10-27 05:15:00,-50910.11378948205,-27347.48823823268,"LINEARRING (8.779524649768966 -45.87846400831797, 28.437413530775 17.44104459955616, 41.00353578154516 80.12821500968633, 43.71034883360922 128.3769255606068, 46.41716188567329 176.6256361115273, 39.04366644282765 206.4965932985199, 23.21378929085912 211.4110655187714, 7.383912138890587 216.3255377390229, -15.60990736924805 195.8822801038037, -40.70354738032599 154.5836828186686, -65.79718739140392 113.2850855335336, -90.94186334772704 54.50299613972674, -110.5997522287331 -8.816512468147387, -130.2576411097391 -72.13602107602151, -142.8237633605092 -134.8231914861517, -145.5305764125733 -183.0719020370722, -148.2373894646374 -231.3206125879927, -140.8638940217917 -261.1915697749852, -125.0340168698232 -266.1060419952368, -109.2041397178547 -271.0205142154882, -86.21032020971604 -250.577256580269, -61.11668019863811 -209.278659295134, -36.02304018756016 -167.980062009999, -10.87836423123706 -109.1979726161921, 8.779524649768966 -45.87846400831797)",72.75275747793606
11,11,2593,0.8683987977368343,"Ellipse(xy=(-34.21219017049298, -10.64956461924268), width=500, height=125, angle=71.59534914227453)",19500.0,2021-10-27 05:25:00,-34212.190170492984,-10649.56461924268,"LINEARRING (25.0909589800382 -30.38244329494161, 46.0238413669152 32.52707268299133, 59.85363128698618 94.94762757652542, 63.53447803523739 143.1318186970706, 67.21532478348863 191.3160098176157, 60.44670352678597 221.3298113861628, 44.71932453230274 226.563031982882, 28.9919455378195 231.7962525796013, 5.589879637952855 211.8216229226814, -20.33283978487829 171.0383233449068, -46.25555920770942 130.2550237671323, -72.58245693414716 71.9928300343892, -93.51533932102416 9.083314056456251, -114.4482217079012 -53.8262019214767, -128.2780116279721 -116.2467568150108, -131.9588583762234 -164.4309479355559, -135.6397051244746 -212.6151390561011, -128.8710838677719 -242.6289406246481, -113.1437048732887 -247.8621612213674, -97.41632587880547 -253.0953818180867, -74.01425997893881 -233.1207521611667, -48.09154055610767 -192.3374525833922, -22.16882113327654 -151.5541530056176, 4.158076593161191 -93.29195927287456, 25.0909589800382 -30.38244329494161)",71.59534914227453
12,12,2674,0.8644528912469223,"Ellipse(xy=(-34.21219017049298, -27.34748823823268), width=500, height=125, angle=68.67516791909557)",20100.0,2021-10-27 05:35:00,-34212.190170492984,-27347.48823823268,"LINEARRING (24.00866648158136 -50.07592528741428, 48.11927433597261 11.68548138772868, 65.11110328420392 73.32042692550007, 71.24190022767019 121.2545299792062, 77.37269717113645 169.1886330329123, 72.14190969501914 199.5082864064669, 56.70155802623341 205.5359383700647, 41.26120635744767 211.5635903336625, 16.87192681859993 192.8071098032232, -11.09482486267318 153.3973939057019, -39.06157654394629 113.9876780081807, -68.32243896817607 57.14235548609187, -92.43304682256732 -4.619051189051081, -116.5436546769586 -66.38045786419403, -133.5354836251899 -128.0154034019654, -139.6662805686562 -175.9495064556715, -145.7970775121224 -223.8836095093776, -140.5662900360051 -254.2032628829322, -125.1259383672194 -260.23091484653, -109.6855866984336 -266.2585668101278, -85.29630715958589 -247.5020862796885, -57.32955547831278 -208.0923703821673, -29.36280379703967 -168.682654484646, -0.1019413728098968 -111.8373319625572, 24.00866648158136 -50.07592528741428)",68.67516791909557
